,Mã CK,Tham Chiếu,Mở Cửa,Khối Lượng,KLTB 13 tuần,KLTB 10 ngày,CN 52 tuần,TN 52 tuần,ROE,Beta,EPS 4 quý trước,EPS (ngàn),PE (lần),Vốn thị trường (Tỷ),Khối Lượng Niêm yết (Triệu),Giá sổ sách (Ngàn),Thấp nhất trong ngày GD gần nhất,Cao nhất trong ngày GD gần nhất
0,A32,29,29,0,672,170,36.9,27,0.145,1.12,0,5.09,5.7,197.9,6.80,35.1,29,29
1,AAA,9.89,9.89,2490900,4002547,2298410,22.8,10.3,0.053,1.87,1495,0.91,12,4166.8,382.27,14.6,9.20,9.90
2,AAM,11.65,12.05,27100,18158,11200,17.9,10.6,0.075,1.47,795,1.80,6.7,126.9,10.45,24.0,11.30,12.05
3,AAS,14.30,13.80,59100,166362,107442,36,15,0.40700000000000003,2.19,770,18.64,0.9,508.4,31,45.8,12.50,14.50
4,AAT,9.50,9.49,1721100,1089778,1619600,23.7,8.5,0.121,1.41,110,1.44,7.4,682.7,63.80,11.9,8.95,9.49
5,AAV,6.80,6.80,203900,192395,118352,32.1,6.2,0.018000000000000002,2.32,874,0.40,18,263.9,36.66,22.2,6.60,6.90
6,ABB,10,10.10,1584500,1448196,826206,24.2,9.8,0.159,1.48,1792,3.39,3.1,6055.9,571.31,21.3,9.50,10.10
7,ABC,7.90,7.90,0,4763,2791,15.6,7.6,2.7119999999999997,1.24,1506,-27.35,-0.3,165.2,20.39,-10.1,7.90,7.90
8,ABI,46.10,44.40,3500,8393,3506,65.5,44.1,0.14800000000000002,1.28,6384,4.76,9.5,1959.4,43.16,32.1,43.10,45
9,ABR,10.95,10.20,3000,1882,260,29.5,10.7,0.081,1.47,0,1.08,11.6,251.0,20,13.4,10.20,10.20
10,ABS,10.60,10.60,276600,557803,955970,30.8,9.7,0.07400000000000001,2.41,683,0.87,15,1044.0,80,11.7,9.90,10.90
11,ABT,34,32.55,700,2187,580,43.7,27.1,0.12300000000000001,1.22,1392,6.14,6.1,445.7,11.84,48.4,31.65,32.55
12,AC4,4.20,4.20,0,0,0,4.2,0,0.16399999999999998,0.75,0,2.70,1.6,12.4,2.94,16.5,4.20,4.20
13,ACB,22.20,22.05,3657900,2619273,1848190,28.6,22,0.226,1.10,3194,4.35,5.2,77005.5,3377.44,15.4,21.30,22.30
14,ACC,16.20,16.20,29800,130733,59390,26.1,7.5,0.036000000000000004,1.59,0,0.40,41.2,1732.5,105.00,11.2,15.70,16.20
15,ACE,35.80,35.50,700,208,146,49.4,32.2,0.264,1.32,0,6.30,6,115.6,3.05,23.9,35,35.50
16,ACG,68.80,68.80,0,81815,103803,119.2,62.4,0.132,0.84,4640,5.62,12.3,6047.9,87.65,42.5,68.80,68.80
17,ACL,14.80,15,133000,333156,145490,33.2,12.3,0.146,2.15,529,2.33,7.5,877.8,50.16,16,13.80,15
18,ACM,1.20,1.20,0,348245,160948,4.2,1.3,-0.026000000000000002,1.43,7,-0.18,-7.8,71.4,51,7.0,1.20,1.20
19,ACS,9.10,7.80,100,168,190,19,7.4,0.034,1.55,0,0.62,14.5,36,4,18.2,7.80,7.80
20,ACV,76.80,76.80,15700,41097,28550,97,76,0.065,0.87,3830,1.20,70.7,184842.0,2177.17,18.7,76.50,79.20
21,ADC,22.50,22.50,0,187,142,27.7,16.3,0.162,1.33,3095,2.55,7.4,75.2,3.98,15.7,22.50,22.50
22,ADG,42.10,42.30,2200,93234,121570,53.5,34.7,0.136,1.09,0,2.07,21.4,883.1,19.89,15.2,42.30,42.80
23,ADP,26.20,26.20,0,761,962,30.3,20,0.138,1.33,3367,1.66,15,573.7,23.04,12.1,26.20,26.20
24,ADS,13.70,13.40,446100,585293,695100,34,14.4,0.14,1.45,234,2.04,7.1,550.1,38.07,16.8,12.80,13.60
25,AFX,12.90,13.20,7400,26711,19054,18.2,13.3,0.085,1.17,4,1.01,13.2,465.5,35,11.9,12.60,13.20
26,AG1,5.30,6,1900,3688,360,8.7,5.8,-0.47,1.31,0,-2.68,-2.2,28.7,4.86,5.7,5.90,6
27,AGF,2.60,2.60,0,2177,1071,5.3,2.6,0.379,1.15,-4212,-2.23,-1.2,75.9,28.11,-5.9,2.60,2.60
28,AGG,36,36,193100,190349,156110,52.3,32.4,0.113,0.74,5538,3.09,11.7,4044.0,111.71,27.4,33.50,36
29,AGM,15.40,15.20,107300,259321,142440,62,20.1,0.049,1.55,2216,1.49,13.6,369.5,18.20,30.6,14.60,15.40
30,AGP,21.60,21.60,1700,5344,2083,22.9,17.0,0.138,1.23,1639,3.16,7,284.9,12.84,23.0,21.40,21.70
31,AGR,9.80,9.79,383300,775922,493340,27.7,8.6,0.071,2.13,322,0.82,13.5,2353.2,212,11.6,9.12,9.80
32,AGX,35.30,35.30,0,682,4930,42.9,21.5,0.142,0.60,0,6.48,5.6,388.8,10.80,45.5,35.30,35.30
33,AIC,10.10,10,6400,5489,900,17.5,9.9,0.044000000000000004,1.41,0,0.48,22.3,1070.0,100,10.9,9.70,10
34,ALT,19.20,17.40,400,1163,1671,27,12.8,0.026000000000000002,2.21,-356,0.93,21.7,124.7,6.17,35.4,17.40,20.10
35,ALV,4.80,4.60,30900,12779,10534,13.5,3.1,0.078,2.82,791,0.99,5.2,28.9,5.66,12.6,4.60,4.80
36,AMC,23.50,23.50,0,122,130,26.8,19.9,0.152,1.10,2937,2.55,9.2,67.0,2.85,16.8,23.50,23.50
37,AMD,1.73,1.72,2250400,2255270,2781960,10.3,1.8,-0.009000000000000001,2.61,237,-0.10,-18.7,305.8,163.50,12.0,1.61,1.72
38,AME,10.60,10.50,6500,11025,6360,15.9,9.1,0.043,1.31,756,1.30,8.3,272.2,25.20,30.1,10.50,10.80
39,AMP,9.50,9.50,0,112,390,19.6,9.5,0.027000000000000003,0.80,0,0.40,23.7,123.5,13,15.1,9.50,9.50
40,AMS,7.70,7.60,32700,29233,14833,19.8,7.7,0.051,1.73,649,0.69,11.2,282.0,36.63,13.5,7.50,7.80
41,AMV,6.40,6.40,1170200,1657541,1417836,14.7,6.3,0.077,2.19,5828,1.79,3.7,601.3,91.11,13.5,5.90,6.50
