,STT,Mã CK,Tên Công Ty,Ngày GDĐT,KLNY LầnĐầu,Giá NY,KL ĐangLưuHành,Cổ Phiếu Quỹ,Khối Lượng Niêm yết,NN được sở hữu,NN còn được phép mua,Giá HT,Vốn Thị Trường,Biểu Đồ
1,2,A32,CTCP 32,23/10/2018,6800000,25.9,6800000,0,6800000,0,0,29,197.2,
2,3,AAA,CTCP Nhựa An Phát Xanh,15/07/2010,9900000,48.7,382274496,0,382274496,16607996,7621864,9.5,3780.7,
3,4,AAM,CTCP Thủy sản MeKong,24/09/2009,8100000,38,8546411,1900000,10446411,6191561,6118089,11.7,121.7,
4,5,AAS,CTCP Chứng khoán SmartInvest,23/07/2020,31000000,12.5,31000000,0,31000000,0,0,13.5,443.3,
5,6,AAT,Công ty Cổ phần Tiên Sơn Thanh Hóa,23/03/2021,34800000,10.6,63801489,0,63801489,0,0,9.2,606.1,
6,7,AAV,CTCP Việt Tiên Sơn Địa ốc,25/06/2018,12500000,12.2,36656180,0,36656180,0,0,6.8,249.3,
7,8,ABB,Ngân hàng Thương mại cổ phần An Bình,28/12/2020,571311355,15,571311355,0,571311355,0,0,9.8,5827.4,
8,9,ABC,CTCP Truyền thông VMG,18/08/2016,20393000,28.5,20393000,0,20393000,9060,9060,7.9,161.1,
9,10,ABI,CTCP Bảo hiểm Ngân hàng Nông nghiệp Việt Nam,16/07/2009,38000000,24,43157815,0,43157815,17326900,17316300,45,1972.3,
10,11,ABR,CTCP Đầu tư Nhãn hiệu Việt,12/06/2018,20000000,10.5,20000000,0,20000000,0,0,11.0,219.0,
11,12,ABS,CTCP Dịch vụ Nông nghiệp Bình Thuận,18/03/2020,28800000,10.8,80000000,0,80000000,0,0,10.4,848.0,
12,13,ABT,CTCP Xuất nhập khẩu Thủy sản Bến Tre,25/12/2006,3300000,90,9289407,2548900,11838307,6912531,6358665,32,402.5,
13,14,AC4,CTCP ACC-244,08/02/2017,2940862,12.9,2940862,0,2940862,0,0,4.2,12.4,
14,15,ACB,Ngân hàng TMCP Á Châu,21/11/2006,110004656,130.2,3377435094,0,3377435094,281308951,2,22,74979.1,
15,16,ACC,CTCP Đầu tư và Xây dựng Bình Dương ACC,30/06/2011,10000000,25,104999993,0,104999993,4900000,3226670,15.9,1701.0,
16,17,ACE,CTCP Bê tông Ly tâm An Giang,10/11/2009,2300000,25,3050781,0,3050781,1489482,1489482,35,108.3,
17,18,ACG,Công ty Cổ phần Gỗ An Cường,04/08/2021,87650344,90,87650344,0,87650344,0,0,68.8,6030.3,
18,19,ACL,CTCP Xuất nhập khẩu Thủy sản Cửu Long An Giang,05/09/2007,9000000,81,50159019,0,50159019,9014991,8274952,14.3,742.4,
19,20,ACM,CTCP Tập Đoàn Khoáng sản Á Cường,23/07/2015,51000000,10.5,51000000,0,51000000,24990000,24603100,1.2,61.2,
20,21,ACS,CTCP Xây lắp Thương mại 2,13/07/2017,4000000,14.5,4000000,0,4000000,0,0,9.1,36.4,
21,22,ACV,Tổng Công ty Cảng Hàng không Việt Nam - CTCP,21/11/2016,2177173236,25,2177173236,0,2177173236,0,0,76.5,163288.0,
22,23,ADC,CTCP Mỹ thuật và Truyền thông,24/12/2010,1000000,10.8,3977936,0,3977936,1499400,1136986,22.5,89.5,
23,24,ADG,CTCP Clever Group,26/12/2019,7400000,77,19889098,0,19889098,0,0,42.3,837.3,
24,25,ADP,CTCP Sơn Á Đông,02/02/2010,5000000,0,23039850,0,23039850,4672387,4672387,26.2,610.6,
25,26,ADS,CTCP Damsan,29/06/2016,16070000,17,38069450,0,38069450,7874300,7742040,12.9,521.6,
26,27,AFX,CTCP Xuất nhập khẩu Nông sản Thực phẩm An Giang,02/12/2016,35000000,10,35000000,0,35000000,0,0,13,455,
27,28,AG1,CTCP 28.1,10/01/2018,4863386,10,4863386,0,4863386,0,0,6,25.8,
28,29,AGF,CTCP Xuất nhập khẩu Thủy sản An Giang,02/05/2002,7887578,30,28109743,0,28109743,13773774,13534389,2.6,81.5,
29,30,AGG,CTCP Đầu tư và Phát triển Bất động sản An Gia,09/01/2020,75000000,25,111713195,0,111713195,0,0,35.6,4021.7,
